kepoi_name,koi_period,koi_prad,koi_srad,koi_teq,koi_insol
K01304.01,4.59726613,1.69,0.959,1105.0,352.4
K01602.01,9.97716876,2.53,1.616,1028.0,263.89
K00187.01,30.882538697,15.4,0.993,593.0,29.12
K01604.01,72.4914068,15.33,2.758,700.0,56.76
K01605.01,4.93913074,24.03,1.17,1182.0,461.47
K01713.02,2.240486703,1.22,0.574,837.0,115.98
K01715.01,105.0145774,2.29,1.042,406.0,6.44
K01716.01,4.88084456,1.55,0.861,879.0,141.0
K01717.01,10.56137217,2.43,1.171,867.0,133.56
K01718.01,67.6690554,3.39,1.08,495.0,14.24
K01488.01,3.949627144,2.32,0.836,966.0,206.05
K01489.01,16.00460392,2.24,0.769,583.0,27.41
