kepoi_name,koi_period,koi_prad,koi_srad,koi_teq,koi_insol
K01166.01,7.6746614,2.8,1.001,957.0,198.67
K01167.01,0.445275074,1.21,0.725,1950.0,3419.7
K00961.01,1.213770423,0.78,0.148,525.0,18.03
K00961.02,0.453287416,0.76,0.148,729.0,66.14
K00132.01,10.810132734,13.95,1.284,985.0,222.68
K00964.01,3.273699006,22.36,2.493,3060.0,20728.79
K00965.01,7.047103499,51.86,1.035,955.0,196.62
K01039.01,1.073917869,33.01,0.959,1794.0,2450.63
K01040.01,4.206096814,32.66,1.076,1252.0,581.11
K01041.01,19.56313723,9.73,1.077,706.0,58.71
K01042.01,2.227718792,8.88,0.922,1400.0,906.46
K01043.01,0.591914504,27.21,0.655,1646.0,1746.78
K01360.01,36.7704935,2.83,0.755,437.0,8.6
K01360.02,14.58932429,2.32,0.755,594.0,29.53
K01360.03,0.764017553,0.86,0.755,1589.0,1503.79
K01361.01,59.8780258,2.19,0.599,273.0,1.31
K01362.01,20.51360192,2.58,0.704,540.0,20.15
K01426.02,74.92768653,6.39,0.897,409.0,6.62
K01426.03,150.0189511,32.6,0.897,325.0,2.62
K01427.01,2.613020421,1.5,0.517,713.0,61.24
K01428.01,0.927859786,1.79,0.699,1361.0,813.3
K01429.01,205.912735,4.68,0.969,298.0,1.85
K00168.03,7.10695741,1.72,1.518,1157.0,422.8
K01239.01,0.783276173,1.98,1.233,2149.0,5056.88
K01239.02,3.17405898,2.09,1.233,1348.0,780.46
K01240.01,2.1395563,1.76,1.08,1425.0,974.3
K01240.02,4.807103254,2.96,1.08,1088.0,330.84
K01241.01,21.4054422,11.64,4.361,1087.0,330.0
K01241.02,10.5007712,5.68,4.361,1378.0,852.28
K01305.01,2.633852528,1.38,0.878,1131.0,387.43
K01305.02,6.18670882,1.21,0.878,851.0,123.96
K01306.01,1.796320953,1.2,0.829,1367.0,827.82
K01306.02,3.468073,1.29,0.829,1098.0,343.57
K01306.03,5.9142668,1.31,0.829,919.0,168.51
K00162.01,14.00640392,3.11,1.124,807.0,100.09
K01363.01,3.546531809,2.18,0.986,1212.0,510.26
K01363.02,5.70070626,2.03,0.986,1035.0,270.62
K01364.01,20.8341497,2.26,0.808,563.0,23.82
K01364.02,7.0556584,2.13,0.808,808.0,100.88
K01430.01,10.47548084,2.11,0.611,540.0,20.15
K01430.02,22.92886314,2.08,0.611,416.0,7.09
K01430.03,77.4740991,2.63,0.611,277.0,1.4
K01431.01,345.1589354,7.79,0.931,241.0,0.8
K01432.01,6.88595222,2.68,0.999,946.0,189.35
K01242.01,99.6442783,8.48,1.016,415.0,6.98
K01243.01,3.125814002,1.88,1.181,1460.0,1073.04
K00155.01,5.660669429,3.24,1.173,1115.0,365.53
K01244.01,10.80487163,1.71,0.998,857.0,127.84
K01245.01,13.71938426,1.98,1.105,864.0,131.94
K01306.04,29.2214959,1.81,0.829,539.0,20.03
K01307.01,44.8520997,3.35,1.071,513.0,16.35
K01307.02,20.34237838,2.88,1.071,667.0,46.93
K00157.05,118.3786735,3.4,1.046,376.0,4.75
K01308.01,23.58444746,3.0,1.354,730.0,66.96
K01364.03,11.97884409,2.11,0.808,678.0,49.87
K01364.04,3.71545593,1.46,0.808,1001.0,237.42
K01364.05,2.58083264,1.31,0.808,1130.0,386.18
K01365.01,1.487084251,1.6,0.876,1462.0,1076.29
K01366.01,19.25404023,3.04,0.941,657.0,44.17
K01432.02,15.0549356,1.6,0.999,729.0,66.72
K01432.03,2.92721119,1.29,0.999,1258.0,593.23
K01432.04,38.2856338,1.77,0.999,534.0,19.24
K01433.01,19.80787763,2.08,0.84,624.0,35.89
K01434.01,2.343230566,1.18,0.782,1054.0,292.31
K01246.01,19.03723442,5.74,2.892,1051.0,288.04
K01247.01,2.73987398,34.83,2.26,2113.0,4705.3
K01248.01,5.801880653,19.91,0.874,964.0,203.62
K01249.01,85.34092607,1177.65,0.898,409.0,6.61
K01250.01,0.782045734,45.05,0.995,2070.0,4332.1
K01251.01,0.576078683,23.23,0.816,1982.0,3647.63
K01309.01,10.1171684,3.07,1.792,1163.0,433.41
K01310.01,19.12947603,4.23,1.71,817.0,105.25
K01311.01,83.5781976,6.63,2.562,655.0,43.62
K01312.01,6.1469956,2.04,1.296,1164.0,433.72
K01313.01,0.522457732,1.52,0.954,2308.0,6715.55
K01366.02,54.1558384,3.88,0.941,466.0,11.12
K00018.01,3.548465446,14.92,1.746,1640.0,1708.28
K00163.01,11.1199028,2.08,0.766,649.0,42.07
K01367.01,0.567856484,1.55,0.853,1848.0,2760.23
K01368.01,251.0597249,44.2,1.086,301.0,1.93
K00169.01,11.70219638,16.15,0.762,719.0,63.16
K01435.01,40.7150498,2.2,0.881,516.0,16.76
K01435.02,10.44635944,2.18,0.881,812.0,102.77
K01436.01,2.508553286,1.28,0.881,1278.0,629.8
K01436.02,13.75129636,1.66,0.881,725.0,65.24
K01252.01,0.885747456,269.98,10.396,4958.0,142553.16
K01253.01,3.611541977,28.07,0.802,1005.0,240.29
K00156.01,8.041347775,1.29,0.54,507.0,15.59
K01254.01,5.082722475,4.4,1.0,1059.0,296.94
K01255.01,78.9257421,11.9,0.882,398.0,5.94
K01256.01,9.991625291,38.93,1.096,907.0,160.14
K01314.01,8.57504983,4.26,3.464,1374.0,841.68
K01315.01,6.84639884,1.9,1.31,1132.0,387.84
K01316.01,7.64970832,1.43,1.613,1144.0,404.99
K00157.06,10.30401132,1.84,1.046,849.0,122.98
K01317.01,2.171827838,58.56,0.891,1311.0,698.31
K01369.01,3.016182013,2.25,1.4,1449.0,1044.49
K01370.01,6.8833761,1.69,0.794,857.0,127.67
K01371.01,0.833980196,1.45,0.871,1816.0,2562.78
K01373.01,1.926353494,1.33,0.899,1484.0,1146.34
K01374.01,0.890737359,20.57,1.169,2022.0,3948.43
K01436.03,5.41908491,1.38,0.881,989.0,225.71
K01437.01,7.01733571,1.61,0.967,984.0,221.46
K01438.01,6.91134223,1.9,1.35,1086.0,328.65
K01439.01,394.6249514,7.79,1.727,325.0,2.65
K01440.01,7.19304935,1.59,0.991,995.0,232.36
K01257.01,86.64764448,9.4,1.12,419.0,7.28
K01258.01,36.33750453,5.3,0.884,513.0,16.36
